"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://unfoldgrowth.com.br/blog/funil-de-marketing-x-funil-de-vendas","2","O que é funil de marketing","26","O que é funil de vendas","23","Indexable",""
"https://unfoldgrowth.com.br/blog/funil-de-vendas","2","O que é funil de vendas","23","As etapas clássicas, e o que o modelo tradicional acerta","56","Indexable",""
